map_size,robot_density,num_robots,load,arm,n,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
30,0.18,162,mid,phasec,10,295.4,246.2855399532561,344.51446004674386,48.0790463039361,35.09480307985155,61.063289528020654,0.4293572,0.3763648866393787,0.48234951336062126,82.75335,77.0980143005701,88.4086856994299
40,0.12,192,high,combo_s1_j1,10,431.7,381.09521898388925,482.3047810161107,40.47676399404474,32.864547460421036,48.08898052766844,0.2303403,0.10740391265054494,0.35327668734945505,51.63333,30.863689715410178,72.40297028458983
40,0.12,192,high,greedy,10,361.2,297.2193769742776,425.18062302572235,60.420751976119604,42.31337538148648,78.52812857075273,0.4426463,0.3139755699741752,0.5713170300258248,79.66667,64.10102510530452,95.23231489469548
40,0.12,192,high,hungarian,10,324.4,250.85750605991296,397.942493940087,50.6082884476556,40.621787714955886,60.59478918035532,0.4863435,0.35119210529653616,0.6214948947034638,80.79333,60.23344620596232,101.35321379403767
40,0.12,192,high,jsq,10,353.9,280.29857685664194,427.501423143358,61.83056060302978,43.20356562075094,80.45755558530863,0.4480726,0.31013375019671835,0.5860114498032816,80.06667,64.26646032823726,95.86687967176275
40,0.12,192,high,phasec,10,408.1,336.59177643110206,479.608223568898,38.907261453898215,33.1295524453285,44.68497046246793,0.29979279999999997,0.14995145578183347,0.4496341442181665,60.04666,38.5894094124253,81.50391058757471
40,0.12,192,low,combo_s1_j1,10,374.0,307.52267992439687,440.47732007560313,34.080899124676414,27.65949289962887,40.50230534972396,0.139463,0.050724342281545085,0.2282016577184549,41.393339999999995,16.429507674941426,66.35717232505857
40,0.12,192,low,greedy,10,326.7,267.80947403096104,385.59052596903894,42.75468277895296,28.111221609487718,57.39814394841821,0.2990868,0.17137317509396238,0.4268004249060376,68.89333,45.42092747513704,92.36573252486298
40,0.12,192,low,hungarian,10,321.4,265.1220235702422,377.67797642975773,46.13095822090678,32.040563575537334,60.22135286627622,0.31953180000000003,0.1774765587504753,0.46158704124952477,68.72001,46.620117225364666,90.81990277463534
40,0.12,192,low,jsq,10,317.2,251.6296924443321,382.77030755566784,41.939060488924255,31.01762618393412,52.86049479391439,0.3166212,0.1712278915085943,0.4620145084914057,68.89333,45.42092747513704,92.36573252486298
40,0.12,192,low,phasec,10,354.4,290.03183384897574,418.7681661510242,37.501265109498426,26.371139973490642,48.63139024550621,0.1597261,0.01818884242633903,0.30126335757366096,39.03333,14.985398272545428,63.081261727454574
40,0.12,192,mid,combo_s1_j1,10,362.2,298.4553171818531,425.9446828181469,36.29840643727542,31.450207097775827,41.14660577677501,0.3176851,0.15828299271301516,0.47708720728698484,53.93335,26.843372310068318,81.02332768993168
40,0.12,192,mid,greedy,10,322.2,236.16741401190626,408.2325859880937,50.77094094782128,36.049468173583094,65.49241372205947,0.4224909,0.23233892301478307,0.6126428769852169,70.36,42.86182075480954,97.85817924519046
40,0.12,192,mid,hungarian,10,277.2,197.60706473147087,356.7929352685291,47.53284844865678,31.815919352703613,63.24977754460994,0.4915238,0.333267202828821,0.6497803971711791,80.96,67.3600600770472,94.5599399229528
40,0.12,192,mid,jsq,10,304.7,210.4283415490184,398.9716584509816,50.193619805479166,32.998325432000684,67.38891417895765,0.4402305,0.24105532112685857,0.6394056788731415,69.43333,42.353399049553865,96.51326095044612
40,0.12,192,mid,phasec,10,380.1,327.0129446308246,433.1870553691754,36.168494100416495,30.837031345472404,41.49995685536059,0.2524124,0.13630053656713453,0.36852426343286543,56.75333,38.366358062177355,75.14030193782264
40,0.15,240,high,combo_s1_j1,10,405.8,338.6353047117544,472.96469528824565,43.067781216144915,33.99344570988998,52.14211672239985,0.2621087,0.12415188920250789,0.4000655107974921,56.02666,34.72555417651192,77.32776582348808
40,0.15,240,high,greedy,10,322.5,257.1507990765895,387.8492009234105,63.30584358541897,44.81086802307978,81.80081914775816,0.4480338,0.31987398484279495,0.576193615157205,79.68666,60.30452522224617,99.06879477775384
40,0.15,240,high,hungarian,10,362.9,299.61936833756397,426.180631662436,60.62867013927743,43.768643482823364,77.4886967957315,0.3753608,0.2356088916342069,0.5151127083657931,74.59333,54.622616991564406,94.56404300843559
40,0.15,240,high,jsq,10,312.8,245.5101292521694,380.0898707478306,67.26619755758651,41.59080148836012,92.9415936268129,0.4621232,0.3312343523576057,0.5930120476423943,79.96666,60.50982551475497,99.42349448524504
40,0.15,240,high,phasec,10,379.6,322.97151915108327,436.2284808489168,42.590365472390225,33.621007520539415,51.559723424241035,0.3070764,0.1785175912029993,0.4356352087970008,64.01334,46.15049128994912,81.87618871005088
40,0.15,240,low,combo_s1_j1,10,376.2,315.88730938570444,436.51269061429554,34.75204969558431,29.666461676840512,39.83763771432811,0.1026053,0.02550228853071501,0.17970831146928498,31.17334,6.003181305545521,56.34349869445448
