variant,load,seed,arm,ticks,assignment_time_ms_mean,avg_excess_delay,avg_task_duration,completed_orders,completed_tasks,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,open_order_count,pending_order_count,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,wall_time_s
map20_r48_s6,low,723,combo_s1_j1,1500,157.9379,22.299360795454547,35.51953125,656,2816,13,0.125,0.004847,27,1,0.8667,11,0.125,0.01425,284.87
map20_r48_s6,low,724,combo_s1_j1,1500,141.6459,23.207567185289957,36.484794908062234,658,2828,27,0.104167,0.006556,27,1,1.8,6,0.145833,0.014444,263.46
map20_r48_s6,low,725,combo_s1_j1,1500,179.6828,21.00126689189189,34.301097972972975,549,2368,30,0.166667,0.007125,11,0,2.0,27,0.125,0.013917,332.11
map20_r48_s6,low,726,combo_s1_j1,1500,147.4349,22.14762931034483,35.4989224137931,650,2784,19,0.083333,0.006222,28,3,1.2667,0,0.125,0.015486,277.82
map20_r48_s6,low,727,combo_s1_j1,1500,144.6833,23.47624039133473,36.517819706498955,668,2862,32,0.104167,0.006917,37,5,2.1333,1,0.104167,0.012681,266.4
map20_r48_s6,low,728,combo_s1_j1,1500,139.4916,22.45892547660312,35.91161178509532,692,2885,68,0.125,0.006667,37,3,4.5333,14,0.125,0.015861,272.12
map20_r48_s6,low,729,combo_s1_j1,1500,146.3509,22.520082389289392,35.61620322691383,693,2913,10,0.083333,0.003986,35,1,0.6667,0,0.166667,0.014361,275.09
map20_r48_s6,low,730,combo_s1_j1,1500,149.03,22.301564722617353,35.72332859174964,668,2812,202,0.229167,0.02125,35,3,13.4667,122,0.229167,0.032847,457.5
map20_r48_s6,mid,721,combo_s1_j1,1500,67.4911,17.997944501541625,31.236382322713258,180,973,1443,0.979167,0.644167,202,171,96.2,1429,0.1875,0.118208,1176.68
map20_r48_s6,mid,722,combo_s1_j1,1500,128.7839,23.8671875,37.208559782608695,703,2944,42,0.125,0.008958,34,2,2.8,8,0.1875,0.019417,289.83
map20_r48_s6,mid,723,combo_s1_j1,1500,192.4364,19.718638902996446,33.05027932960894,414,1969,81,0.166667,0.018583,12,0,5.4,31,0.1875,0.023,501.79
map20_r48_s6,mid,724,combo_s1_j1,1500,125.529,22.95257048092869,36.41194029850746,710,3015,70,0.1875,0.008972,43,4,4.6667,34,0.104167,0.014986,254.1
map20_r48_s6,mid,725,combo_s1_j1,1500,88.1931,21.479369842460613,35.69092273068267,316,1333,1297,0.895833,0.601333,432,400,86.4667,1295,0.208333,0.095972,752.68
map20_r48_s6,mid,726,combo_s1_j1,1500,121.8611,23.133743523316063,36.3494170984456,733,3088,45,0.145833,0.007375,28,1,3.0,31,0.145833,0.015278,247.76
map20_r48_s6,mid,727,combo_s1_j1,1500,104.1945,24.80321004884857,38.348918353105375,698,2866,262,0.145833,0.021444,49,8,17.4667,49,0.1875,0.028375,321.08
map20_r48_s6,mid,728,combo_s1_j1,1500,140.9548,21.370903010033445,34.66588628762542,730,2990,39,0.1875,0.004472,31,2,2.6,25,0.125,0.012375,258.43
map20_r48_s6,mid,729,combo_s1_j1,1500,114.1674,24.239333333333335,37.623333333333335,740,3000,68,0.229167,0.009889,44,11,4.5333,33,0.125,0.013194,230.46
map20_r48_s6,mid,730,combo_s1_j1,1500,104.4883,22.0599730458221,35.492587601078164,717,2968,61,0.145833,0.042111,46,11,4.0667,29,0.145833,0.051528,597.69
map20_r48_s6,high,721,combo_s1_j1,1500,114.5889,22.486714193130265,36.10304601425794,736,3086,63,0.166667,0.008653,48,8,4.2,44,0.125,0.015736,231.04
map20_r48_s6,high,722,combo_s1_j1,1500,85.052,24.85018985157059,38.60648947186745,709,2897,162,0.166667,0.039694,39,7,10.8,103,0.166667,0.045333,511.43
map20_r48_s6,high,723,combo_s1_j1,1500,140.432,22.003125,35.024609375,553,2560,521,0.1875,0.051375,26,0,34.7333,321,0.208333,0.057278,720.99
map20_r48_s6,high,724,combo_s1_j1,1500,91.3512,24.18360546484505,37.890036654448515,720,3001,81,0.166667,0.016153,42,5,5.4,48,0.145833,0.0215,265.01
map20_r48_s6,high,725,combo_s1_j1,1500,114.2623,23.173154362416106,36.540939597315436,717,2980,87,0.208333,0.010097,32,4,5.8,57,0.145833,0.017569,243.36
map20_r48_s6,high,726,combo_s1_j1,1500,124.2192,21.897707834416696,35.03489565514882,678,2923,30,0.125,0.006542,16,0,2.0,19,0.145833,0.014181,225.2
map20_r48_s6,high,727,combo_s1_j1,1500,89.416,25.51027281913102,39.073425395756146,715,2969,114,0.166667,0.014667,42,4,7.6,68,0.145833,0.018083,182.47
map20_r48_s6,high,728,combo_s1_j1,1500,91.3473,24.067824377457406,37.685124508519,765,3052,36,0.1875,0.008236,38,7,2.4,32,0.145833,0.013611,184.88
map20_r48_s6,high,729,combo_s1_j1,1500,101.8111,21.64379200565971,35.42907675981606,658,2827,134,0.125,0.044694,23,0,8.9333,83,0.166667,0.05175,590.89
map20_r48_s6,high,730,combo_s1_j1,1500,95.5263,22.425,35.836333333333336,715,3000,31,0.145833,0.027083,37,5,2.0667,22,0.208333,0.038681,426.36
