variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,phasec,mid,701,20,20,48,4,0.12,568,0.9524647887323944,541,2354,48.133389974511466,33.75148683092608,27,1,0.017792,0.166667,0.020028,0.166667,137,55,9.1333
map20_r48_s4,phasec,mid,702,20,20,48,4,0.12,437,0.32494279176201374,142,606,35.09075907590759,21.462046204620464,295,262,0.201583,0.25,0.772778,1.0,1319,1287,87.9333
map20_r48_s4,phasec,mid,703,20,20,48,4,0.12,526,0.9752851711026616,513,2227,45.676246070947464,31.82801975752133,13,0,0.01425,0.166667,0.020986,0.291667,150,109,10.0
map20_r48_s4,phasec,mid,704,20,20,48,4,0.12,470,0.7021276595744681,330,1450,41.61655172413793,27.46551724137931,140,100,0.093153,0.208333,0.426792,0.979167,835,806,55.6667
map20_r48_s4,phasec,mid,705,20,20,48,4,0.12,523,0.8240917782026769,431,1830,43.98579234972678,30.108743169398906,92,54,0.079806,0.25,0.275889,0.979167,680,626,45.3333
map20_r48_s4,phasec,mid,706,20,20,48,4,0.12,555,0.9711711711711711,539,2263,46.555015466195314,32.54220061864781,16,0,0.021514,0.166667,0.028597,0.1875,204,123,13.6
map20_r48_s4,phasec,mid,707,20,20,48,4,0.12,495,0.37575757575757573,186,742,37.99730458221024,24.12264150943396,309,268,0.227833,0.3125,0.731472,1.0,1315,1283,87.6667
map20_r48_s4,phasec,mid,708,20,20,48,4,0.12,502,0.9681274900398407,486,2141,46.445119103222794,32.72069126576366,16,0,0.018208,0.1875,0.021875,0.1875,175,122,11.6667
map20_r48_s4,phasec,mid,709,20,20,48,4,0.12,547,0.9707495429616088,531,2285,49.052078774617065,34.50853391684902,16,0,0.022278,0.1875,0.026861,0.1875,199,145,13.2667
map20_r48_s4,phasec,mid,710,20,20,48,4,0.12,443,0.1489841986455982,66,323,40.086687306501545,27.111455108359134,377,337,0.132514,0.166667,0.866375,1.0,1364,1362,90.9333
map20_r48_s4,combo_s1_j1,high,701,20,20,48,4,0.12,564,0.9627659574468085,543,2349,46.92422307364836,32.85100042571307,21,0,0.018083,0.1875,0.021639,0.145833,187,99,12.4667
map20_r48_s4,combo_s1_j1,high,702,20,20,48,4,0.12,549,0.16757741347905283,92,446,30.03587443946188,16.159192825112108,457,421,0.250972,0.3125,0.859,1.0,1439,1436,95.9333
