load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
low,934,ComboS1J1,516.0,0.021167,8.5333,30.92087617344658,29.0
low,935,ComboS1J1,537.0,0.022403,12.9333,33.6141935483871,31.0
low,936,ComboS1J1,148.0,0.740236,85.0,22.94429347826087,410.0
low,937,ComboS1J1,477.0,0.011875,3.7333,30.16658954187876,12.0
low,938,ComboS1J1,388.0,0.314681,54.2,29.134405514072373,298.0
low,939,ComboS1J1,372.0,0.026944,18.0667,27.01155401502022,10.0
low,940,ComboS1J1,277.0,0.488167,59.6667,23.688146380270485,411.0
low,941,ComboS1J1,427.0,0.011931,5.5333,25.637866666666667,12.0
low,942,ComboS1J1,330.0,0.008444,4.9333,21.684667908131594,11.0
low,943,ComboS1J1,536.0,0.020639,11.1333,32.260195035460995,18.0
low,944,ComboS1J1,354.0,0.01825,9.3333,23.470588235294116,11.0
low,945,ComboS1J1,444.0,0.038264,20.0667,32.01110550227158,14.0
low,946,ComboS1J1,446.0,0.022708,13.2,29.75,13.0
low,947,ComboS1J1,508.0,0.060125,33.2667,35.589090909090906,40.0
low,948,ComboS1J1,149.0,0.769417,87.0667,22.025931928687196,376.0
low,949,ComboS1J1,541.0,0.018347,8.0667,31.974913494809687,31.0
low,900,Greedy,376.0,0.317333,44.3333,29.76403138201569,172.0
low,901,Greedy,515.0,0.029861,17.0,33.29470922606034,31.0
low,902,Greedy,160.0,0.709667,79.2,25.167320261437908,406.0
low,903,Greedy,482.0,0.141833,27.2667,29.73841059602649,56.0
low,904,Greedy,545.0,0.019931,11.0667,32.49725622625581,36.0
low,905,Greedy,283.0,0.464819,66.0667,29.6071953010279,215.0
low,906,Greedy,470.0,0.150097,35.0,31.6115347950429,56.0
low,907,Greedy,533.0,0.034333,18.3333,34.11937639198218,38.0
low,908,Greedy,256.0,0.539347,66.4667,34.49071618037135,320.0
low,909,Greedy,350.0,0.361222,51.2,31.378759975445057,165.0
low,910,Greedy,519.0,0.030431,17.3333,33.72038749449582,33.0
low,911,Greedy,319.0,0.441667,64.6667,31.058948863636363,206.0
low,912,Greedy,352.0,0.352972,61.6667,35.52972611890448,184.0
low,913,Greedy,221.0,0.6295,77.0667,28.083086053412462,319.0
low,914,Greedy,170.0,0.687153,80.8,24.048239895697524,368.0
low,915,Greedy,555.0,0.020736,10.8,32.113247863247864,38.0
low,916,Greedy,279.0,0.516306,74.4,26.348096348096348,207.0
low,917,Greedy,345.0,0.373556,60.1333,30.10425937698665,160.0
low,918,Greedy,214.0,0.596556,71.8667,31.694501018329937,333.0
low,919,Greedy,473.0,0.120333,30.6,32.7359022556391,53.0
low,920,Greedy,525.0,0.084708,22.1333,32.01159678858162,40.0
low,921,Greedy,521.0,0.032014,15.8,33.41289198606272,29.0
low,922,Greedy,316.0,0.445736,57.2667,31.80955829109341,227.0
low,923,Greedy,138.0,0.710167,91.5333,18.506944444444443,355.0
low,924,Greedy,356.0,0.353861,59.2667,32.21281891723709,132.0
low,925,Greedy,133.0,0.754778,89.4667,23.45288753799392,392.0
low,926,Greedy,222.0,0.622986,80.4,28.846918489065608,318.0
low,927,Greedy,180.0,0.697708,87.1333,25.103529411764708,344.0
low,928,Greedy,359.0,0.320486,54.0,29.332530120481927,144.0
low,929,Greedy,405.0,0.270167,42.5333,31.057754010695188,101.0
low,930,Greedy,137.0,0.772569,87.8667,25.690705128205128,413.0
low,931,Greedy,495.0,0.093458,27.4667,32.53001792114696,38.0
low,932,Greedy,363.0,0.347069,53.4,27.473098330241186,147.0
low,933,Greedy,485.0,0.042806,25.2667,33.860366713681245,26.0
low,934,Greedy,513.0,0.050819,29.4667,36.78731836195509,34.0
low,935,Greedy,534.0,0.022139,10.7333,33.98225602027883,32.0
low,936,Greedy,107.0,0.773875,82.7333,29.283553875236294,488.0
low,937,Greedy,459.0,0.088986,29.5333,32.35103383458647,32.0
low,938,Greedy,518.0,0.035861,21.6,34.89072703526339,36.0
low,939,Greedy,155.0,0.728306,83.0,28.712270803949224,421.0
low,940,Greedy,477.0,0.019681,9.8667,29.994405594405595,23.0
low,941,Greedy,317.0,0.452611,59.8,25.598877980364655,211.0
low,942,Greedy,132.0,0.714722,83.2667,23.525581395348837,385.0
low,943,Greedy,513.0,0.104069,23.7333,32.565158371040724,45.0
low,944,Greedy,199.0,0.579583,70.4,22.677451971688573,296.0
low,945,Greedy,384.0,0.290722,52.6667,32.05174418604651,119.0
low,946,Greedy,351.0,0.348014,59.2667,32.898587933247754,184.0
low,947,Greedy,508.0,0.056153,28.0,34.28894806924101,40.0
low,948,Greedy,60.0,0.889806,91.6667,20.7,557.0
low,949,Greedy,542.0,0.024167,11.9333,33.37076725246464,30.0
low,900,Hungarian,329.0,0.409417,48.1333,27.250346740638,258.0
low,901,Hungarian,237.0,0.562875,69.1333,26.942156003505698,588.0
low,902,Hungarian,366.0,0.008361,5.0,23.469142857142856,14.0
low,903,Hungarian,514.0,0.022417,11.6,31.00916590284143,11.0
low,904,Hungarian,542.0,0.017514,9.2667,29.50942587832048,36.0
low,905,Hungarian,396.0,0.040181,18.6,30.513143483023,11.0
low,906,Hungarian,426.0,0.278806,47.1333,32.006027397260276,144.0
low,907,Hungarian,537.0,0.036944,23.3333,33.08448815377738,32.0
low,908,Hungarian,114.0,0.795431,88.7333,28.239388794567063,618.0
low,909,Hungarian,439.0,0.027861,8.8667,29.36336485813838,10.0
low,910,Hungarian,351.0,0.399681,52.9333,28.45902731512325,362.0
low,911,Hungarian,220.0,0.632931,83.7333,27.546475995914196,405.0
low,912,Hungarian,70.0,0.840944,87.4,22.301204819277107,751.0
low,913,Hungarian,387.0,0.009389,4.8667,26.332574031890662,11.0
